instance_id,n,redundancy_mult,curvature,curvature_bound,min_ratio,mean_ratio
n10_mult0.0000_s1001,10,0.0,0.0,1.0,1.0,1.0
n10_mult0.0000_s1002,10,0.0,0.0,1.0,0.9999999999999998,1.0
n10_mult0.0000_s1003,10,0.0,0.0,1.0,1.0,1.0
n10_mult0.0000_s1004,10,0.0,0.0,1.0,0.9999999999999998,1.0
n10_mult0.0000_s1005,10,0.0,0.0,1.0,0.9999999999999999,1.0
n10_mult0.0000_s1006,10,0.0,0.0,1.0,1.0,1.0
n10_mult0.0200_s1007,10,0.02,0.18853463463748488,0.9113878774540266,0.9999999999999998,0.9999999999999997
n10_mult0.0200_s1008,10,0.02,0.17446956812602965,0.9176247071331928,1.0,1.0000000000000002
n10_mult0.0200_s1009,10,0.02,0.17745695455895572,0.9162951980048054,0.9999999999999999,1.0
n10_mult0.0200_s1010,10,0.02,0.234283714683447,0.8914946286675308,0.9999999999999999,1.0
n10_mult0.0200_s1011,10,0.02,0.17117391030551998,0.9190944394515255,1.0,1.0000000000000002
n10_mult0.0200_s1012,10,0.02,0.22652387819551334,0.8948270602708972,0.9999999999999998,0.9999999999999999
n10_mult0.0500_s1013,10,0.05,0.2944611662327373,0.8662165165393061,0.9999999999999998,1.0
n10_mult0.0500_s1014,10,0.05,0.269099012670598,0.8767494095548626,0.9999999999999998,1.0
n10_mult0.0500_s1015,10,0.05,0.3647679069649973,0.8379087260138425,1.0,1.0
n10_mult0.0500_s1016,10,0.05,0.3514696559357747,0.843164676264873,0.9999999999999999,1.0
n10_mult0.0500_s1017,10,0.05,0.359829613561105,0.8398552476700623,1.0,1.0
n10_mult0.0500_s1018,10,0.05,0.35815634904417926,0.8405162065672221,0.9999999999999998,0.9999999999999999
n10_mult0.1000_s1019,10,0.1,0.6318238737211135,0.7413121177669955,1.0,1.0000000000000002
n10_mult0.1000_s1020,10,0.1,0.6375328511173535,0.7394208159272344,0.9999999999999999,1.0000000000000002
n10_mult0.1000_s1021,10,0.1,0.6057949301622729,0.7500219451834066,1.0,1.0
n10_mult0.1000_s1022,10,0.1,0.41719282157528226,0.8176222686894681,1.0,1.0
n10_mult0.1000_s1023,10,0.1,0.43961111857397306,0.8091539576254596,1.0,1.0
