topology,n,tau,mean_rho_mean,mean_rho_sem,susceptibility_mean,susceptibility_sem,realization
er,300,0.10391863742164263,0.008928504847129008,0.0009145216547754894,1.3538448078549004,0.24339209284348773,2
er,300,0.11554935512692026,0.011612136465324382,0.0003855278766346468,2.652782601811493,0.17982828554540106,2
er,300,0.12273407486342756,0.012603467561521253,0.00035461737941424416,3.5233593454233336,1.025490857343389,2
er,300,0.1415495123052125,0.014966909023117075,0.00043388255752953867,2.599216598108005,0.23995781099312363,2
er,300,0.15524790397086116,0.022177945563012676,0.0018505109782639233,3.9379239318756483,0.410930888882683,2
er,300,0.16036494974699744,0.029192300521998508,0.0024656965143556326,5.768600539414804,0.815576573113878,2
er,300,0.17918038718878238,0.058002423564504094,0.0054178173763895126,6.913560495743168,0.7499372101226879,2
er,300,0.1979958246305673,0.12115492170022372,0.004477135788934372,6.034627722135945,0.9398011275928256,2
er,300,0.2085854279400522,0.16108314690529457,0.0036177061844406442,4.099376102042353,0.5616279386620996,2
er,300,0.21681126207235224,0.17901379567486952,0.0067969050458055865,3.335596700211128,0.5316872995485237,2
er,300,0.28024778200613126,0.3408934563758389,0.0024432866651038663,1.474439204376666,0.09195998496885185,2
er,300,0.3765307101986448,0.4843204697986577,0.0009793390076633696,0.8039813347281941,0.007875343528529229,2
er,300,0.5058929448354886,0.588303504847129,0.0005031467928939286,0.5406751952049579,0.019525868434188087,2
er,600,0.03546953977682451,0.0028800925925925925,0.0006532559429857352,3.9504721836883467,3.2819135360208027,0
er,600,0.04764123343721084,0.004189583333333333,0.0009117439661201581,4.456304261195065,2.1339352171430135,0
er,600,0.06398975396071564,0.0035208333333333337,0.00035589809165839935,3.4781518915882574,1.0534137829537717,0
er,600,0.08512689546437882,0.0036458333333333334,0.00031549411551204105,1.5745935275772551,0.3778490496188806,0
er,600,0.08594841729590297,0.005258796296296296,0.0010019218429603207,3.7954770160248565,1.5751594340785544,0
er,600,0.10386372187486131,0.004394675925925925,0.00018134930584497074,1.5400348075554842,0.22780681800029848,0
er,600,0.11544239473409684,0.005793055555555556,0.00043974439007316864,4.016143429139257,1.5397994032335252,0
er,600,0.12260054828534381,0.008322453703703703,0.0009600813347145446,5.804524432646838,1.4968300906436083,0
er,600,0.1413373746958263,0.009555555555555555,0.0008777755801660253,3.9794055812708304,0.7563472049377319,0
er,600,0.15505749752274156,0.017076157407407408,0.0037831924622944513,6.81068590506867,1.2831749243310475,0
er,600,0.16007420110630882,0.01863773148148148,0.002663399366247541,6.918820005083588,1.3346137796284723,0
er,600,0.1788110275167913,0.04812569444444445,0.003378255647793802,9.857134643986821,0.6173399155434061,0
er,600,0.1975478539272738,0.12485995370370372,0.004480567440950642,5.4289206423211676,0.706671738470837,0
er,600,0.20826688144674946,0.1644983796296296,0.0026639971145416184,4.069061398533951,0.5276448960326877,0
er,600,0.2162846803377563,0.1852601851851852,0.003580063725890322,3.5905308934152655,0.29587155716198393,0
er,600,0.27973554713916865,0.3455125,0.0014059896052670013,1.580141770177594,0.06170430171301043,0
er,600,0.37572933242992756,0.48425555555555555,0.002263954119335937,0.8001609041335151,0.046738306269216365,0
er,600,0.5046642541214313,0.5940349537037037,0.0005152586259516283,0.5394183837623258,0.01127231063820844,0
er,600,0.033899664837590084,0.0028869379412857672,0.0005050299301029649,2.4398607747965824,1.7070929327605606,1
er,600,0.04558767935237909,0.002529031958379784,7.144457643660349e-05,0.7692611899800557,0.12678903264321123,1
er,600,0.06130551787729922,0.0037198067632850237,0.0004581034860976929,3.293619653413895,1.9702328439819434,1
er,600,0.08135919561021619,0.0036482720178372344,0.00017920307056404962,1.329340143131982,0.2945920009247742,1
er,600,0.08244259360413604,0.0039511334076551465,0.0001958082868408218,1.6382938444994009,0.24558367460208205,1
er,600,0.09958954432079331,0.004459076551467856,0.0004026525386368094,1.8781298015006525,0.624147352344692,1
er,600,0.11086736521466546,0.005716973244147157,0.0003227212621144212,2.4976088749433076,0.4871304719325663,1
er,600,0.11781989303137042,0.008197928279450019,0.0014534265145430278,5.492013159471503,2.4650672634902313,1
er,600,0.13605024174194752,0.011314799331103678,0.00169291873701629,5.3893893786518525,1.4387654461385795,1
er,600,0.1490925034292633,0.020034838350055737,0.0025704639060923477,7.816860399229987,1.3496605009852265,1
er,600,0.15428059045252462,0.019737318840579707,0.0018716416705034848,9.32632727770676,1.8269630586053884,1
er,600,0.17251093916310173,0.0545066889632107,0.002012397379833312,9.958963889520412,1.1388589223907728,1
er,600,0.19074128787367886,0.12466137123745819,0.003799533381909614,5.416496081918352,0.3718233113389839,1
er,600,0.20049700410725108,0.16984485321441842,0.004537459049202445,3.54805884588022,0.3282111939252307,1
er,600,0.208971636584256,0.18990756224451877,0.004124444840919325,3.340466143336124,0.29523010584545906,1
er,600,0.26962488207903373,0.34299284652545525,0.0017785037012087374,1.3595503189810314,0.0600169462985325,1
