d,n,trial,lambda1,lambda2,lambda_min,lambda2_abs,bipartite_like,connected,bound,gap
3,1024,9,3.000000000000004,2.8218713934723207,-2.8267078801512726,2.8267078801512726,False,True,2.8284271247461903,-0.0017192445949176793
3,1024,10,3.000000000000006,2.821490778086635,-2.8265545832328542,2.8265545832328542,False,True,2.8284271247461903,-0.0018725415133360457
3,1024,11,3.000000000000004,2.816240448079201,-2.825998129105479,2.825998129105479,False,True,2.8284271247461903,-0.0024289956407113067
3,1024,12,3.0000000000000053,2.8225413583808354,-2.813475118681097,2.8225413583808354,False,True,2.8284271247461903,-0.005885766365354872
3,1024,13,2.9999999999999973,2.8243934425707367,-2.824052972502527,2.8243934425707367,False,True,2.8284271247461903,-0.0040336821754536345
3,1024,14,3.000000000000005,2.8247490024457833,-2.826616620984641,2.826616620984641,False,True,2.8284271247461903,-0.0018105037615492314
3,1024,15,3.0000000000000018,2.816826773701529,-2.8138029515379777,2.816826773701529,False,True,2.8284271247461903,-0.011600351044661394
3,1024,16,3.0000000000000044,2.83171996618472,-2.819102860675999,2.83171996618472,False,True,2.8284271247461903,0.0032928414385295923
3,1024,17,2.9999999999999956,2.827568910683481,-2.824162469163377,2.827568910683481,False,True,2.8284271247461903,-0.0008582140627093615
3,1024,18,2.9999999999999956,2.818960052740417,-2.8237830980053515,2.8237830980053515,False,True,2.8284271247461903,-0.004644026740838747
3,1024,19,3.000000000000002,2.824257665650087,-2.8233626954581963,2.824257665650087,False,True,2.8284271247461903,-0.004169459096103445
3,2048,0,2.9999999999999987,2.8181635481254586,-2.8283085898353537,2.8283085898353537,False,True,2.8284271247461903,-0.0001185349108365763
3,2048,1,3.000000000000007,2.8229157632417063,-2.828168511948366,2.828168511948366,False,True,2.8284271247461903,-0.0002586127978241315
3,2048,2,3.0,2.824903552392662,-2.8236492533044193,2.824903552392662,False,True,2.8284271247461903,-0.0035235723535280705
3,2048,3,3.000000000000011,2.823937355695461,-2.8251290737390162,2.8251290737390162,False,True,2.8284271247461903,-0.003298051007174063
3,2048,4,3.000000000000005,2.8278933728495814,-2.8230662472436157,2.8278933728495814,False,True,2.8284271247461903,-0.0005337518966088695
3,2048,5,3.0000000000000075,2.8193264076655784,-2.822536497398137,2.822536497398137,False,True,2.8284271247461903,-0.0058906273480534566
3,2048,6,3.0000000000000013,2.826841662998918,-2.8198490825430587,2.826841662998918,False,True,2.8284271247461903,-0.0015854617472723653
3,2048,7,3.0000000000000053,2.81760247660982,-2.827068129475587,2.827068129475587,False,True,2.8284271247461903,-0.001358995270603458
3,2048,8,3.0000000000000164,2.823339532104329,-2.820569331731938,2.823339532104329,False,True,2.8284271247461903,-0.005087592641861427
3,2048,9,3.0000000000000058,2.820246683416509,-2.821260978248036,2.821260978248036,False,True,2.8284271247461903,-0.00716614649815428
3,2048,10,2.999999999999999,2.826531742570387,-2.822229129358987,2.826531742570387,False,True,2.8284271247461903,-0.0018953821758032063
3,2048,11,3.000000000000008,2.8282503761022078,-2.823867861886951,2.8282503761022078,False,True,2.8284271247461903,-0.0001767486439825383
3,2048,12,3.000000000000006,2.8251915029639267,-2.8271423850147217,2.8271423850147217,False,True,2.8284271247461903,-0.0012847397314685871
3,2048,13,3.0000000000000053,2.8269252764438897,-2.824357011278757,2.8269252764438897,False,True,2.8284271247461903,-0.0015018483023006013
3,2048,14,2.9999999999999987,2.8181433815564985,-2.819408861864711,2.819408861864711,False,True,2.8284271247461903,-0.009018262881479444
3,2048,15,3.0000000000000027,2.820153969257613,-2.823715622837575,2.823715622837575,False,True,2.8284271247461903,-0.0047115019086154675
3,2048,16,3.0000000000000004,2.825885794130396,-2.826889118901131,2.826889118901131,False,True,2.8284271247461903,-0.0015380058450591427
3,2048,17,3.0000000000000027,2.826774396378743,-2.827142955740684,2.827142955740684,False,True,2.8284271247461903,-0.0012841690055060972
3,2048,18,3.000000000000008,2.82468378186692,-2.819365965519749,2.82468378186692,False,True,2.8284271247461903,-0.0037433428792703616
3,2048,19,2.9999999999999987,2.8262634319671625,-2.8279677041689135,2.8279677041689135,False,True,2.8284271247461903,-0.0004594205772767701
3,4096,0,3.000000000000007,2.8256340455930324,-2.8306649197690312,2.8306649197690312,False,True,2.8284271247461903,0.0022377950228409382
3,4096,1,3.000000000000007,2.825791466193857,-2.8250610453657488,2.825791466193857,False,True,2.8284271247461903,-0.0026356585523332754
3,4096,2,3.0000000000000053,2.8279729575733477,-2.8240040072091586,2.8279729575733477,False,True,2.8284271247461903,-0.0004541671728426344
3,4096,3,3.00000000000001,2.8238664114313745,-2.822378565836329,2.8238664114313745,False,True,2.8284271247461903,-0.004560713314815779
3,4096,4,3.000000000000002,2.826675386035493,-2.8266746930375612,2.826675386035493,False,True,2.8284271247461903,-0.001751738710697115
3,4096,5,2.999999999999999,2.8275758875368497,-2.827634292353003,2.827634292353003,False,True,2.8284271247461903,-0.0007928323931873926
3,4096,6,2.999999999999999,2.825974679945157,-2.8290855414504392,2.8290855414504392,False,True,2.8284271247461903,0.000658416704248932
3,4096,7,3.0000000000000138,2.8229830998399357,-2.82973242065014,2.82973242065014,False,True,2.8284271247461903,0.001305295903949677
3,4096,8,3.0000000000000027,2.826582951949923,-2.827447925952036,2.827447925952036,False,True,2.8284271247461903,-0.0009791987941540903
3,4096,9,3.000000000000004,2.8269779114406717,-2.8321602234291388,2.8321602234291388,False,True,2.8284271247461903,0.003733098682948466
3,8192,0,3.0000000000000058,2.8273507812454692,-2.8255484952555157,2.8273507812454692,False,True,2.8284271247461903,-0.0010763435007210553
3,8192,1,3.0000000000000124,2.8254837845350815,-2.826652835031954,2.826652835031954,False,True,2.8284271247461903,-0.0017742897142363212
3,8192,2,3.000000000000009,2.8279656760067535,-2.829832482863054,2.829832482863054,False,True,2.8284271247461903,0.0014053581168638196
3,8192,3,3.0000000000000075,2.8287084768374973,-2.826745942108643,2.8287084768374973,False,True,2.8284271247461903,0.00028135209130697447
3,8192,4,2.999999999999995,2.8277011966096692,-2.8265694762331837,2.8277011966096692,False,True,2.8284271247461903,-0.000725928136521059
