n,rho,alpha,p,n_trials,n_samples,mean_overlap,sem_overlap,ci_lo,ci_hi,mean_sweeps_used
100,0.5,0.19,19,20,100,0.5328,0.010231739092084241,0.5118,0.5526,3.4
100,0.5,0.2,20,20,100,0.5208,0.00947903587988363,0.5016000000000002,0.5386,3.65
100,0.5,0.2029,20,20,100,0.5366,0.008199802904751289,0.520595,0.5526000000000001,3.65
100,0.5,0.21,21,20,100,0.5248,0.009577414509504572,0.5055949999999999,0.5424,3.3
100,0.5,0.22,22,20,100,0.5224,0.008818163074019442,0.504,0.5394,3.3
100,0.5,0.23,23,20,100,0.5244000000000001,0.008231891666199235,0.5078,0.5408,3.5
100,0.5,0.24,24,20,100,0.5279999999999999,0.00894878807888577,0.5103949999999999,0.5458000000000001,3.6
100,0.5,0.2486,25,20,100,0.491,0.008400937898577609,0.4742,0.507205,3.55
100,0.5,0.25,25,20,100,0.5256,0.009428433249238897,0.507,0.5442,3.25
100,0.5,0.2943,29,20,100,0.5288,0.008707688463871361,0.5124,0.5452,3.35
100,0.5,0.34,34,20,100,0.5226,0.008920094215202035,0.504395,0.5391999999999999,3.1
200,0.0,0.005,2,20,40,1.0,0.0,1.0,1.0,2.0
200,0.0,0.01,2,20,40,1.0,0.0,1.0,1.0,2.0
200,0.0,0.015,3,20,60,1.0,0.0,1.0,1.0,2.0
200,0.0,0.02,4,20,80,1.0,0.0,1.0,1.0,2.0
200,0.0,0.025,5,20,100,1.0,0.0,1.0,1.0,2.0
200,0.0,0.03,6,20,100,1.0,0.0,1.0,1.0,2.0
200,0.0,0.035,7,20,100,1.0,0.0,1.0,1.0,2.0
200,0.0,0.04,8,20,100,1.0,0.0,1.0,1.0,2.0
200,0.0,0.045,9,20,100,1.0,0.0,1.0,1.0,2.0
200,0.0,0.048,10,20,100,1.0,0.0,1.0,1.0,2.0
200,0.0,0.05,10,20,100,1.0,0.0,1.0,1.0,2.05
200,0.0,0.055,11,20,100,0.9997,0.00022270150335361384,0.9992,1.0,2.1
200,0.0,0.06,12,20,100,1.0,0.0,1.0,1.0,2.0
200,0.0,0.065,13,20,100,1.0,0.0,1.0,1.0,2.0
200,0.0,0.0657,13,20,100,1.0,0.0,1.0,1.0,2.0
200,0.0,0.068,14,20,100,0.9999000000000001,0.00010000000000000011,0.9997,1.0,2.2
200,0.0,0.07,14,20,100,0.9999000000000001,0.00010000000000000011,0.9997,1.0,2.2
200,0.0,0.075,15,20,100,0.9996,0.00040000000000000034,0.9987999999999999,1.0,2.1
200,0.0,0.08,16,20,100,0.9996,0.0003152680437246051,0.9989,1.0,2.1
200,0.0,0.085,17,20,100,0.9997,0.0002227015033536139,0.9992,1.0,2.2
200,0.0,0.088,18,20,100,0.9992,0.00036735472631980006,0.9984000000000001,0.9998,2.4
200,0.0,0.09,18,20,100,0.9992000000000002,0.0003387439663632032,0.9984999999999999,0.9998,2.4
200,0.0,0.095,19,20,100,0.9971000000000001,0.0016835208416418328,0.9933,0.9996,2.85
200,0.0,0.1,20,20,100,0.9954,0.0018717463352266358,0.9913975,0.9984999999999999,3.1
200,0.0,0.105,21,20,100,0.9915999999999999,0.005885644236683701,0.9782000000000001,0.9990000000000001,3.45
200,0.0,0.108,22,20,100,0.9910000000000001,0.003942772444036625,0.9822974999999999,0.9973000000000001,3.2
200,0.0,0.11,22,20,100,0.9971000000000001,0.0011485168301295842,0.9945000000000002,0.9989000000000001,2.65
200,0.0,0.1114,22,20,100,0.9906,0.003017859298820067,0.9839999999999999,0.9956,3.15
200,0.0,0.115,23,20,100,0.9841,0.006680432756804143,0.9700975,0.9956,4.15
200,0.0,0.12,24,20,100,0.9892,0.003268088744266905,0.982,0.9948999999999999,3.65
200,0.0,0.125,25,20,100,0.9796,0.007362092368369473,0.963395,0.9917025,4.6
200,0.0,0.128,26,20,100,0.9708,0.009360005180003746,0.9497974999999999,0.9867999999999999,5.2
200,0.0,0.148,30,20,100,0.9449000000000001,0.011635451747729323,0.9216975,0.9656025,7.15
200,0.0,0.1571,31,20,100,0.8659,0.02158099378919546,0.8242975,0.9059074999999999,10.1
200,0.0,0.168,34,20,100,0.8639,0.020929846746894375,0.8197975000000001,0.9048025,8.65
