n_vars,n_communities,alpha,mu,trial,n_clauses,satisfiable,hit_cap,decisions,backtracks,modularity_q,runtime_sec
80,4,3.5,0.33,8,280,1,0,311,594,0.5258645124716553,0.19546151161193848
80,4,3.5,0.33,9,280,1,0,42,39,0.4726842403628118,0.018567800521850586
80,4,3.5,0.33,10,280,1,0,23,15,0.47787414965986397,0.011536836624145508
80,4,3.5,0.33,11,280,1,0,25,10,0.5685459183673469,0.011141538619995117
80,4,3.5,0.33,12,280,1,0,17,2,0.4881717687074829,0.0068035125732421875
80,4,3.5,0.33,13,280,1,0,25,22,0.48633219954648527,0.012454986572265625
80,4,3.5,0.33,14,280,1,0,11,1,0.5445493197278912,0.005593299865722656
80,4,3.5,0.33,15,280,1,0,82,134,0.48883219954648527,0.04871058464050293
80,4,3.5,0.33,16,280,1,0,13,2,0.5184892290249433,0.00603032112121582
80,4,3.5,0.33,17,280,1,0,140,259,0.493375850340136,0.08332347869873047
80,4,3.5,0.33,18,280,1,0,328,630,0.5059240362811791,0.1958751678466797
80,4,3.5,0.33,19,280,1,0,26,10,0.4865702947845805,0.01069951057434082
80,4,3.5,0.33,20,280,1,0,18,5,0.4826672335600907,0.007721424102783203
80,4,3.5,0.33,21,280,1,0,202,360,0.4967120181405895,0.12168598175048828
80,4,3.5,0.33,22,280,1,0,16,0,0.46505668934240363,0.008350610733032227
80,4,3.5,0.33,23,280,1,0,137,239,0.46613662131519273,0.09387493133544922
80,4,3.5,0.33,24,280,1,0,17,2,0.4985685941043084,0.007414817810058594
80,4,3.7,0.33,0,296,1,0,152,284,0.5086513878743608,0.10145235061645508
80,4,3.7,0.33,1,296,1,0,31,28,0.46065913886859833,0.017284631729125977
80,4,3.7,0.33,2,296,1,0,187,348,0.456489428617807,0.12642598152160645
80,4,3.7,0.33,3,296,1,0,20,17,0.5266085342098856,0.011846780776977539
80,4,3.7,0.33,4,296,1,0,22,4,0.48200988150312474,0.009694814682006836
80,4,3.7,0.33,5,296,1,0,118,202,0.503862815518221,0.07400846481323242
80,4,3.7,0.33,6,296,1,0,19,14,0.5280821361902444,0.009588241577148438
80,4,3.7,0.33,7,296,1,0,165,313,0.4779010429348267,0.1198875904083252
80,4,3.7,0.33,8,296,1,0,23,19,0.519374949273598,0.014137744903564453
80,4,3.7,0.33,9,296,1,0,155,279,0.4934131766902037,0.10034513473510742
80,4,3.7,0.33,10,296,1,0,32,47,0.4716718407596786,0.021504640579223633
80,4,3.7,0.33,11,296,1,0,16,4,0.49027574872169466,0.00774073600769043
