degree,n_edges,poa,theoretical_bound
2,2,1.0009152547987605,1.6257523845831854
2,2,1.0,1.6257523845831854
2,10,1.0503840102265016,1.6257523845831854
2,4,1.00562880935931,1.6257523845831854
2,12,1.0120198139056522,1.6257523845831854
2,7,1.0047542598864094,1.6257523845831854
2,8,1.1409786081824942,1.6257523845831854
2,12,1.031092867728484,1.6257523845831854
2,10,1.0059649774303443,1.6257523845831854
2,12,1.0043279508115899,1.6257523845831854
2,3,1.09518432534538,1.6257523845831854
2,3,1.0,1.6257523845831854
2,13,1.1853431355398445,1.6257523845831854
2,8,1.1125511596637594,1.6257523845831854
2,1,1.0,1.6257523845831854
2,5,1.0317326513277953,1.6257523845831854
2,2,1.0,1.6257523845831854
2,7,1.0640256754203847,1.6257523845831854
2,2,0.9999999999999989,1.6257523845831854
2,10,1.0263968673336914,1.6257523845831854
2,7,1.0081200149362812,1.6257523845831854
2,4,1.0071765606700291,1.6257523845831854
2,4,1.0145675915483585,1.6257523845831854
2,3,1.1017028802894087,1.6257523845831854
