L,T,m_mean,m_std,chi_mean,chi_std,c_mean,c_std,u4_mean,u4_std,e_mean,e_std
32,2.207692,0.771060791015625,0.011439997319620492,4.677307878460598,1.5638284524420603,1.4627238338224484,0.07489551826780061,0.6494623314260712,0.004662119374278773,-1.5325205078125,0.005236022780955276
32,2.234615,0.730561767578125,0.011992337808070885,7.989702665176171,2.166551416462832,1.6488575438285475,0.10489069642238975,0.6380576882524288,0.005685873708037012,-1.49384228515625,0.005417216099481252
32,2.261538,0.694046142578125,0.008507967731191111,9.054818723677856,2.1235579170237653,1.665406141884594,0.1112479912309794,0.6306482732406369,0.005493841546706631,-1.4544501953125,0.003840916154966777
32,2.288462,0.59558642578125,0.030000780464987557,17.824601441050056,2.801228295043233,1.9174195772022296,0.06613731817832502,0.5801209058886081,0.020560235047092756,-1.3956494140625,0.011316480199844157
32,2.315385,0.516773681640625,0.03265191233450688,20.12381115451221,2.859867356399166,1.8399763379869716,0.05145993087558551,0.5314367322520983,0.03345377786894468,-1.3447070312500002,0.008285097315325562
32,2.342308,0.42558691406250004,0.023989719145889116,20.716366215243482,0.6539868075531755,1.649077711281207,0.08950940978469517,0.45538635247282744,0.032981145492169635,-1.2921176757812498,0.005804356500114047
32,2.369231,0.371610107421875,0.006468094110639061,19.329273551714103,1.048048771639162,1.536493583319479,0.08270557909933739,0.3986557688981744,0.011437238467692354,-1.2538603515625,0.0007721262905016964
32,2.396154,0.31978100585937497,0.018783925548209634,16.588237141494666,0.6116335269190948,1.2876307578479373,0.06474643358671063,0.33791485708516045,0.0584720257974711,-1.2171767578125,0.0031285266050598047
32,2.423077,0.266147705078125,0.00378626387760142,13.227947679356761,1.1903705518630086,1.1299267603489183,0.07008321549991227,0.23902868436385688,0.02298376488856904,-1.18164208984375,0.0027097082071763415
32,2.45,0.24814721679687501,0.006646539630150166,11.616964898058834,0.5599053936411451,1.0243272711890876,0.025556709714147762,0.23073042561351825,0.039212085410413905,-1.156580078125,0.0023324769582970554
32,2.56,0.168385009765625,0.002571262578251936,5.825264078044892,0.15876810493853719,0.7753918698430061,0.03380725272342541,0.10682714751757519,0.03981729056041516,-1.0578408203125,0.0026891497494220965
32,2.67,0.134586669921875,0.0027619781911839736,3.7563139457331167,0.2947095356891416,0.6449278073339682,0.029026075893811867,0.08502330808078903,0.020488336091073037,-0.9829033203124999,0.0020586912649608697
32,2.78,0.108987060546875,0.003161906197554805,2.4355220730349316,0.11387186513478552,0.530979615995266,0.0191457056668719,0.03567906070736804,0.07759962240972931,-0.91701025390625,0.0012324995448670382
32,2.89,0.09242724609375,0.0010013481827315111,1.7223723793320178,0.06771283116891437,0.46023479148395313,0.0035484291946060995,0.010609344769278106,0.04882013224773071,-0.863205078125,0.0006119440163331817
32,3.0,0.085781982421875,0.000499167404758031,1.3956314673665366,0.0338337167936271,0.4055595296223959,0.006661369524072699,0.024272031204911365,0.039134516934616774,-0.81705126953125,0.0019853577470659673
64,1.6,0.9796144409179688,8.877565050172574e-05,0.04275413913738646,0.001131160444007716,0.2594048929214477,0.007348571289029351,0.666643498132339,6.118125809458575e-07,-1.928249267578125,0.0002577585106007874
64,1.7,0.9701097412109375,6.842571853884305e-05,0.06695888635965061,0.002108686205161809,0.335410881913657,0.006685870097665812,0.6666273679827688,1.230950631853948e-06,-1.898217529296875,0.00012010354065325829
64,1.8,0.9569174194335938,9.325410901722665e-05,0.11023264034697099,0.002533604549470318,0.4312164525161555,0.007400148650354561,0.6665963388460947,1.5913864460948032e-06,-1.859421142578125,0.00024236278958417618
64,1.9,0.9383680419921876,0.00015919845564026086,0.19206738480408458,0.004099292836735929,0.5498293782326653,0.011690086927392797,0.6665323251857367,2.7951887087809276e-06,-1.8094744873046875,0.00038839487527850974
64,2.0,0.91114453125,0.0006531370216613764,0.41820284881600855,0.08595974339026036,0.7214811919555664,0.008093562366857016,0.6663471550875297,5.6257812944229905e-05,-1.7451339111328124,0.0008405481533817389
64,2.1,0.8691785888671875,0.0005841733059140685,0.8781210999115632,0.04228638897486985,0.9550368311321925,0.024550818443674773,0.6658844339017522,3.541099834475203e-05,-1.6620900878906248,0.0006444417717985442
64,2.126923,0.8525337524414063,0.001558291005486831,1.242264426967678,0.10979111776170983,1.0476815606603893,0.01016423915122617,0.6655123455479013,9.670954983029157e-05,-1.6347808837890625,0.001426256215661253
